vid_name,total_frame_count,total_saved_count,saved_count,score,execution_time(sec),
CTC_A_jump,1952,650,650,1,229,
test,323,107,107,0,12.2,
YONEX French Open 2021  Chou Tien Chen (TPE) [4] vs Heo Kwanghee (KOR)  Semifinals,103200,34400,34400,78,2555.4,88733.4
MS  SHI Yuqi (CHN) [3] vs CHOU Tien Chen (TPE) [7]  BWF 2018,130920,65460,65460,112,4255.5,
YONEX All England Open 2022  Viktor Axelsen (DEN) [1] vs Chou Tien Chen (TPE) [4]  Semifinals,111601,37200,37200,72,2452.4,
TotalEnergies BWF Sudirman Cup 2021  Chou Tien Chen (TPE) vs Kento Momota (JPN)  QF,168452,56150,56150,109,3611.4,
DAIHATSU Indonesia Masters 2021  Chou Tien Chen (TPE) [4] vs Loh Kean Yew (SGP)  Round of 16,77700,25900,25900,75,1542.6,
SF  MS  Kantaphon WANGCHAROEN (THA) vs CHOU Tien Chen (TPE) [4]  BWF 2019,132584,66292,66292,113,3941.5,
R16  MS  CHOU Tien Chen (TPE) [1] vs Kanta TSUNEYAMA (JPN)  BWF 2020,141053,70526,70526,213,4347.9,
YONEX French Open 2021  Kenta Nishimoto (JPN) vs Chou Tien Chen (TPE) [4]  Quarterfinals,163720,54573,54573,149,4063.8,
F  MS  CHOU Tien Chen (TPE) [1] vs Viktor AXELSEN (DEN) [2]  BWF 2020,98767,49383,49383,103,2665.8,
YONEX All England Open 2022  Chou Tien Chen (TPE) [4] vs Shesar Hiren Rhustavito (INA)  R32,95557,31852,31852,79,1645.6,
BWF Thomas Cup  Chou Tien Chen (TPE) vs Kantaphon Wangcharoen (THA)  Group A,109800,36600,36600,78,2047,
F  MS  NG Ka Long Angus (HKG) vs CHOU Tien Chen (TPE) [3]  BWF 2019,126874,63437,63437,113,3149.9,
F  MS  Kento MOMOTA (JPN) [1] vs CHOU Tien Chen (TPE) [2]  BWF 2019,107901,53950,53950,80,3561.6,
BWF Thomas Cup  Anthony Sinisuka Ginting (INA) vs Chou Tien Chen (TPE)  Group A,119552,39850,39850,107,2409.9,
R16  MS  CHOU Tien Chen (TPE) [4] vs LIN Dan (CHN)  BWF 2019,129588,64794,64794,113,4019.5,
TotalEnergies BWF World Championships 2021  Chou Tien Chen (TPE) [4] vs Lu Guang Zu (CHN)  R32,159600,53200,53200,125,3575.4,
HSBC BWF World Tour Finals  Day 2 Chou Tien Chen (TPE) [3] vs Anthony Sinisuka Ginting (INA),98250,32750,32750,79,1925.1,
DAIHATSU Indonesia Masters 2021  Kento Momota (JPN) [1] vs Chou Tien Chen (TPE) [4]  SF,102600,34200,34200,74,1925.5,
TotalEnergies BWF Sudirman Cup 2021  Chou Tien Chen (TPE) vs Heo Kwanghee (KOR)  Group B,132000,44000,44000,109,2690.9,
R16  MS  LOH Kean Yew (SGP) vs CHOU Tien Chen (TPE) [2]  BWF 2019,118790,59395,59395,112,3262.7,
F  MS  CHOU Tien Chen (TPE) [1] vs HEO Kwang Hee (KOR)  BWF 2019,85840,42920,42920,68,2540.2,
QF  MS  Anthony Sinisuka GINTING (INA) [8] vs CHOU Tien Chen (TPE) [2]  BWF 2019,128505,64252,64252,137,4078,
YONEX French Open 2021  Kanta Tsuneyama (JPN) vs Chou Tien Chen (TPE) [4]  Finals,174600,58200,58200,122,3869.1,
TotalEnergies BWF World Championships 2021  Chou Tien Chen (TPE) [4] vs Sitthikorn Thammasin (THA),80700,26900,26900,66,1741.4,
SF  MS  CHOU Tien Chen (TPE) [1] vs Shesar Hiren RHUSTAVITO (INA)  BWF 2019,119788,59894,59894,110,3831.8,
QF  MS  CHOU Tien Chen (TPE) [4] vs Jonatan CHRISTIE (INA) [6]  BWF 2019,130581,65290,65290,116,4079.4,
YONEX All England Open 2022  Chou Tien Chen (TPE) [4] vs Jonatan Christie (INA) [7]  Quarterfinals,86250,28750,28750,73,1587.7,
F  MS  Kento MOMOTA (JPN) [1] vs CHOU Tien Chen (TPE) [4]  BWF 2018,128780,64390,64390,99,3454,
VICTOR Denmark Open 2021  Lee Cheuk Yiu (HKG) vs Chou Tien Chen (TPE) [4]  Quarter Finals,157950,52650,52650,119,3902.4,
